User Story ID,User Story
SLM-US-001,"As a prospective learner, I want to try a language match as a guest so that I can experience SLM before committing to an account."
SLM-US-002,"As a learner, I want to create an SLM account so that I can maintain my language ratings and history."
SLM-US-003,"As a learner, I want to maintain a profile containing my username, avatar, country, institution and bio so that I can establish my identity within the language community."
SLM-US-004,"As a learner, I want to select the languages I am interested in so that SLM can track my ratings and activity for those languages."
SLM-US-005,"As a learner, I want to control my privacy, friends, blocked users and online status so that I can manage how I interact with the SLM community."
SLM-US-006,"As a new language learner, I want to complete a placement sequence so that SLM can estimate my starting skill instead of assigning me an arbitrary rating."
SLM-US-007,"As a learner, I want one clear rating for each language so that I can easily understand and communicate my competitive proficiency."
SLM-US-008,"As a newly rated player, I want my rating to be marked provisional while SLM collects enough games to establish it so that I understand that my rating is still being calibrated."
SLM-US-009,"As a learner, I want to see how my language rating changes over time so that I can track my competitive development."
SLM-US-010,"As a learner, I want SLM to track vocabulary, grammar, listening, reaction time, topic accuracy and streak data separately from my headline rating so that I can understand the specific components of my language ability."
SLM-US-011,"As a player, I want to choose which language I want to play so that my match tests the language I am currently practicing."
SLM-US-012,"As a player, I want to select Word, Phrase, Sentence or an exam-aligned level so that I can compete at an appropriate difficulty."
SLM-US-013,"As a player, I want to choose Bullet, Blitz, Rapid or Classical time control so that I can select the pace at which I want to compete."
SLM-US-014,"As a player, I want to choose between rated and casual matches so that I can practice competitively or without affecting my rating."
SLM-US-015,"As a player, I want to choose a language game mode such as Word Duel, Listening Duel, Tone Duel or Grammar Duel so that I can practice different language skills."
SLM-US-016,"As a competitive learner, I want SLM to automatically match me with an appropriately rated opponent so that my matches are competitive and meaningful."
SLM-US-017,"As a learner, I want to challenge a friend directly so that we can compete against each other."
SLM-US-018,"As a learner, I want to generate a private challenge link so that I can invite someone to play without relying on public matchmaking."
SLM-US-019,"As a learner, I want to accept or decline an incoming challenge so that I control which matches I play."
SLM-US-020,"As a player, I want a dedicated competitive Arena Board that displays the prompt, answers, timer, opponent status, score, rating information and streak so that language practice feels like a sport."
